seed,method,mean_retained,worst_retained
7,mean,0.930685157338485,0.8606060606060605
7,task_arithmetic,0.9359691807739265,0.8597014925373134
7,ties,0.9393396002657858,0.8666666666666667
42,mean,0.9296258226281972,0.7544378698224852
42,task_arithmetic,0.9381082847448913,0.8165680473372781
42,ties,0.9331575810521979,0.8136094674556213
123,mean,0.9200334734044792,0.8263473053892215
123,task_arithmetic,0.9095682032868727,0.8056446440025657
123,ties,0.9343099242259695,0.8333333333333334
