seed,task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
42,mrpc,rte,mrpc+rte,ties,1.0,0.2,mrpc,1.1473714113235474,0.7401960784313726,0.8348909657320872,0.8348909657320872,0.8349514563106796,0.9999275519814532,-6.049057859236484e-05
42,mrpc,rte,mrpc+rte,ties,1.0,0.2,rte,1.3775293827056885,0.5523465703971119,0.5694444444444444,0.5523465703971119,0.6064981949458483,0.9107142857142856,-0.0541516245487364
7,sst2,imdb,sst2+imdb,mean,1.0,,sst2,1.0263177156448364,0.7511467889908257,0.7703703703703704,0.7511467889908257,0.768348623853211,0.9776119402985074,-0.017201834862385357
7,sst2,imdb,sst2+imdb,mean,1.0,,imdb,0.9852928519248962,0.766,0.75,0.766,0.787,0.9733163913595934,-0.02100000000000002
7,sst2,imdb,sst2+imdb,task_arithmetic,0.75,,sst2,1.1450910568237305,0.7305045871559633,0.7725072604065828,0.7305045871559633,0.768348623853211,0.9507462686567164,-0.037844036697247674
7,sst2,imdb,sst2+imdb,task_arithmetic,0.75,,imdb,1.0490678548812866,0.761,0.7815356489945156,0.761,0.787,0.9669631512071156,-0.026000000000000023
7,sst2,imdb,sst2+imdb,ties,1.0,0.2,sst2,1.0289819240570068,0.7580275229357798,0.7781282860147214,0.7580275229357798,0.768348623853211,0.9865671641791044,-0.010321100917431214
7,sst2,imdb,sst2+imdb,ties,1.0,0.2,imdb,0.9979616403579712,0.7645,0.7570912841670965,0.7645,0.787,0.97141041931385,-0.022500000000000075
7,sst2,mrpc,sst2+mrpc,mean,1.0,,sst2,1.1922321319580078,0.7041284403669725,0.6239067055393586,0.7041284403669725,0.768348623853211,0.9164179104477612,-0.06422018348623848
7,sst2,mrpc,sst2+mrpc,mean,1.0,,mrpc,1.1379224061965942,0.7132352941176471,0.8245877061469266,0.8245877061469266,0.8414442700156985,0.9799671059992393,-0.01685656386877199
7,sst2,mrpc,sst2+mrpc,task_arithmetic,0.75,,sst2,1.0495271682739258,0.75,0.7197943444730077,0.75,0.768348623853211,0.9761194029850746,-0.01834862385321101
7,sst2,mrpc,sst2+mrpc,task_arithmetic,0.75,,mrpc,1.0921754837036133,0.7377450980392157,0.8293460925039873,0.8293460925039873,0.8414442700156985,0.9856221285914923,-0.012098177511711272
7,sst2,mrpc,sst2+mrpc,ties,1.0,0.2,sst2,1.0711628198623657,0.7465596330275229,0.7184713375796178,0.7465596330275229,0.768348623853211,0.9716417910447761,-0.02178899082568808
7,sst2,mrpc,sst2+mrpc,ties,1.0,0.2,mrpc,1.1316957473754883,0.7205882352941176,0.8277945619335347,0.8277945619335347,0.8414442700156985,0.9837782387157866,-0.013649708082163814
7,sst2,rte,sst2+rte,mean,1.0,,sst2,1.183552861213684,0.6903669724770642,0.7368421052631579,0.6903669724770642,0.768348623853211,0.8985074626865672,-0.07798165137614677
7,sst2,rte,sst2+rte,mean,1.0,,rte,1.3605281114578247,0.5379061371841155,0.5460992907801419,0.5379061371841155,0.5956678700361011,0.903030303030303,-0.0577617328519856
7,sst2,rte,sst2+rte,task_arithmetic,0.75,,sst2,1.204538345336914,0.6605504587155964,0.7366548042704626,0.6605504587155964,0.768348623853211,0.8597014925373134,-0.10779816513761464
7,sst2,rte,sst2+rte,task_arithmetic,0.75,,rte,1.3967238664627075,0.5487364620938628,0.5519713261648745,0.5487364620938628,0.5956678700361011,0.9212121212121213,-0.04693140794223827
7,sst2,rte,sst2+rte,ties,1.0,0.2,sst2,1.1453675031661987,0.6811926605504587,0.7406716417910447,0.6811926605504587,0.768348623853211,0.8865671641791044,-0.08715596330275233
7,sst2,rte,sst2+rte,ties,1.0,0.2,rte,1.3753490447998047,0.5234657039711191,0.5448275862068965,0.5234657039711191,0.5956678700361011,0.8787878787878788,-0.07220216606498198
7,imdb,mrpc,imdb+mrpc,mean,1.0,,imdb,1.1633135080337524,0.735,0.6863905325443787,0.735,0.787,0.9339263024142312,-0.052000000000000046
7,imdb,mrpc,imdb+mrpc,mean,1.0,,mrpc,1.1791541576385498,0.7058823529411765,0.8230088495575221,0.8230088495575221,0.8414442700156985,0.9780907409853388,-0.018435420458176477
7,imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,imdb,1.033596158027649,0.7785,0.7622114868491681,0.7785,0.787,0.9891994917407877,-0.008500000000000063
7,imdb,mrpc,imdb+mrpc,task_arithmetic,0.75,,mrpc,1.1470516920089722,0.7107843137254902,0.822289156626506,0.822289156626506,0.8414442700156985,0.9772354342744112,-0.019155113389192513
7,imdb,mrpc,imdb+mrpc,ties,1.0,0.2,imdb,1.0817402601242065,0.7705,0.7493173129437466,0.7705,0.787,0.9790343074968233,-0.01650000000000007
7,imdb,mrpc,imdb+mrpc,ties,1.0,0.2,mrpc,1.1646950244903564,0.7034313725490197,0.8207407407407408,0.8207407407407408,0.8414442700156985,0.975395245992261,-0.020703529274957777
7,imdb,rte,imdb+rte,mean,1.0,,imdb,1.1796451807022095,0.711,0.7412712623097583,0.711,0.787,0.9034307496823379,-0.07600000000000007
7,imdb,rte,imdb+rte,mean,1.0,,rte,1.4015780687332153,0.5126353790613718,0.6218487394957983,0.5126353790613718,0.5956678700361011,0.8606060606060605,-0.08303249097472931
7,imdb,rte,imdb+rte,task_arithmetic,0.75,,imdb,1.1113139390945435,0.711,0.7536231884057971,0.711,0.787,0.9034307496823379,-0.07600000000000007
7,imdb,rte,imdb+rte,task_arithmetic,0.75,,rte,1.478349208831787,0.5126353790613718,0.6131805157593123,0.5126353790613718,0.5956678700361011,0.8606060606060605,-0.08303249097472931
7,imdb,rte,imdb+rte,ties,1.0,0.2,imdb,1.1270778179168701,0.7225,0.7621088726960994,0.7225,0.787,0.9180432020330368,-0.0645
7,imdb,rte,imdb+rte,ties,1.0,0.2,rte,1.4424453973770142,0.516245487364621,0.6338797814207651,0.516245487364621,0.5956678700361011,0.8666666666666667,-0.07942238267148016
7,mrpc,rte,mrpc+rte,mean,1.0,,mrpc,1.1893620491027832,0.7034313725490197,0.8217967599410898,0.8217967599410898,0.8414442700156985,0.9766502538852131,-0.019647510074608743
7,mrpc,rte,mrpc+rte,mean,1.0,,rte,1.4274592399597168,0.516245487364621,0.6358695652173914,0.516245487364621,0.5956678700361011,0.8666666666666667,-0.07942238267148016
7,mrpc,rte,mrpc+rte,task_arithmetic,0.75,,mrpc,1.1602634191513062,0.7156862745098039,0.824773413897281,0.824773413897281,0.8414442700156985,0.9801878071876269,-0.016670856118417565
7,mrpc,rte,mrpc+rte,task_arithmetic,0.75,,rte,1.4322805404663086,0.5126353790613718,0.5871559633027523,0.5126353790613718,0.5956678700361011,0.8606060606060605,-0.08303249097472931
7,mrpc,rte,mrpc+rte,ties,1.0,0.2,mrpc,1.1926031112670898,0.7034313725490197,0.8207407407407408,0.8207407407407408,0.8414442700156985,0.975395245992261,-0.020703529274957777
7,mrpc,rte,mrpc+rte,ties,1.0,0.2,rte,1.4237709045410156,0.5234657039711191,0.6228571428571429,0.5234657039711191,0.5956678700361011,0.8787878787878788,-0.07220216606498198
