task,primary_metric,accuracy,f1,eval_loss,train_runtime_s,train_samples,eval_samples
sst2,accuracy,0.7752293577981652,0.7731481481481481,0.9981321096420288,21.7848,12000,872
imdb,accuracy,0.7725,0.7735191637630662,0.9674147367477417,24.721,12000,2000
mrpc,f1,0.75,0.8349514563106796,1.057210922241211,21.449,3668,408
rte,accuracy,0.6064981949458483,0.4293193717277487,1.3097448348999023,24.5438,2490,277
