task_a,task_b,pair,cosine_similarity,sign_agreement,sign_conflict,norm_a,norm_b
sst2,imdb,sst2+imdb,0.374576598405838,0.6858764290809631,0.31412357091903687,1.1853160858154297,1.2554670572280884
sst2,mrpc,sst2+mrpc,0.020077580586075783,0.7018084526062012,0.29819154739379883,1.1853160858154297,1.0874018669128418
sst2,rte,sst2+rte,-0.010417923331260681,0.6908473372459412,0.30915266275405884,1.1853160858154297,0.832709014415741
imdb,mrpc,imdb+mrpc,0.028544051572680473,0.6495769023895264,0.35042309761047363,1.2554670572280884,1.0874018669128418
imdb,rte,imdb+rte,0.008867518976330757,0.6458719372749329,0.35412806272506714,1.2554670572280884,0.832709014415741
mrpc,rte,mrpc+rte,-0.04672269895672798,0.7075173854827881,0.2924826145172119,1.0874018669128418,0.832709014415741
