pair,task_a,task_b,method,scale,density,mean_retained,worst_retained,mean_delta
sst2+mrpc,sst2,mrpc,ties,0.5,0.2,0.8436096961342481,0.7130177514792899,-0.12200872090683096
sst2+mrpc,sst2,mrpc,ties,0.5,0.5,0.8856900596188751,0.7928994082840236,-0.08925901022177635
sst2+mrpc,sst2,mrpc,ties,0.75,0.1,0.8509267460094078,0.7233727810650888,-0.11620855150617998
sst2+mrpc,sst2,mrpc,ties,0.75,0.2,0.918994456465327,0.8535502958579881,-0.06326255471456449
sst2+mrpc,sst2,mrpc,ties,0.75,0.5,0.9597705648287848,0.9334319526627219,-0.03160183374233094
sst2+mrpc,sst2,mrpc,ties,1.0,0.1,0.9045070307682115,0.8224852071005916,-0.07443121575302925
sst2+mrpc,sst2,mrpc,ties,1.0,0.2,0.9772607916594713,0.9585798816568047,-0.017749286925230257
sst2+mrpc,sst2,mrpc,ties,1.0,0.5,0.9881680456171735,0.9807692307692307,-0.009304856595706734
sst2+rte,sst2,rte,mean,1.0,,0.8891236968160046,0.7544378698224852,-0.08796326963203388
sst2+rte,sst2,rte,task_arithmetic,0.5,,0.8891236968160046,0.7544378698224852,-0.08796326963203388
sst2+rte,sst2,rte,task_arithmetic,0.75,,0.8993554522400676,0.8165680473372781,-0.07651607988606629
sst2+rte,sst2,rte,task_arithmetic,1.0,,0.895533953226261,0.8505917159763313,-0.07596338555294274
sst2+rte,sst2,rte,ties,0.5,0.1,0.7681213017751478,0.6612426035502957,-0.16921347663365682
sst2+rte,sst2,rte,ties,0.5,0.2,0.8104923922231615,0.6745562130177515,-0.1423922763554466
sst2+rte,sst2,rte,ties,0.5,0.5,0.8080797407720486,0.735207100591716,-0.13873869771139002
sst2+rte,sst2,rte,ties,0.75,0.1,0.8201606086221471,0.67603550295858,-0.1364037194051601
sst2+rte,sst2,rte,ties,0.75,0.2,0.8660714285714286,0.75,-0.10231883217964427
sst2+rte,sst2,rte,ties,0.75,0.5,0.8777296421527191,0.8328402366863906,-0.0882592819527705
sst2+rte,sst2,rte,ties,1.0,0.1,0.8632009016624401,0.7144970414201184,-0.1070550293114298
sst2+rte,sst2,rte,ties,1.0,0.2,0.8859714003944774,0.8136094674556213,-0.08488308548339013
sst2+rte,sst2,rte,ties,1.0,0.5,0.8835059171597632,0.875,-0.07976393534925313
