task,primary_metric,loss,accuracy,f1,primary_score
sst2,accuracy,0.9981321096420288,0.7752293577981652,0.7731481481481481,0.7752293577981652
imdb,accuracy,0.9674147367477417,0.7725,0.7735191637630662,0.7725
mrpc,f1,1.057210922241211,0.75,0.8349514563106796,0.8349514563106796
rte,accuracy,1.3097448348999023,0.6064981949458483,0.4293193717277487,0.6064981949458483
