method,mean_retained,sd,worst_retained
mean,0.9253593153714821,0.034369959081439146,0.8263473053892215
scope_ties,0.9368247622458776,0.040355324080706606,0.8333333333333334
ties,0.9368247622458776,0.040355324080706606,0.8333333333333334
