schedule,mean_retained,worst_retained,order
depth_progressive,0.9277597472893814,0.8002958579881657,3
early_sparse,0.9182430283906876,0.7736686390532544,1
early_very_sparse,0.9038422497605395,0.7455621301775147,2
uniform,0.9331575810521979,0.8136094674556213,0
