method,early_factor,mean_retained,worst_retained
adaptive_mean,0.25,0.8875322096974507,0.6819526627218935
adaptive_mean,0.5,0.905971036509725,0.7011834319526628
adaptive_mean,0.75,0.9203295157239886,0.7233727810650888
adaptive_mean,1.0,0.9296258226281972,0.7544378698224852
adaptive_ties,0.25,0.8895057117148762,0.7189349112426036
adaptive_ties,0.5,0.9104501834887202,0.757396449704142
adaptive_ties,0.75,0.9214141480582247,0.7825443786982248
adaptive_ties,1.0,0.9331575810521979,0.8136094674556213
