method,mean_retained,between_unit_sd,worst_retained
adaptive_mean,0.9253593153714821,0.034369959081439146,0.8263473053892215
adaptive_ties,0.9368247622458776,0.040355324080706606,0.8333333333333334
mean,0.9253593153714821,0.034369959081439146,0.8263473053892215
ties,0.9368247622458776,0.040355324080706606,0.8333333333333334
